INFO 2025-01-27 14:11:58,871 autoreload Watching for file changes with StatReloader
DEBUG 2025-01-27 14:11:58,872 autoreload Waiting for apps ready_event.
DEBUG 2025-01-27 14:11:58,977 autoreload Main Django thread has terminated before apps are ready.
DEBUG 2025-01-27 14:11:59,239 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-01-27 14:11:59,332 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\rest_framework\metadata.py first seen with mtime 1737714165.367571
DEBUG 2025-01-27 14:11:59,333 autoreload File C:\Python313\Lib\importlib\metadata\__init__.py first seen with mtime 1733239648.0
DEBUG 2025-01-27 14:11:59,333 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\urllib3\_request_methods.py first seen with mtime 1737714112.0137293
DEBUG 2025-01-27 14:11:59,335 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\core\files\uploadhandler.py first seen with mtime 1737714127.8699415
DEBUG 2025-01-27 14:11:59,335 autoreload File C:\Python313\Lib\traceback.py first seen with mtime 1733239650.0
DEBUG 2025-01-27 14:11:59,335 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\contrib\contenttypes\checks.py first seen with mtime 1737714127.103819
DEBUG 2025-01-27 14:11:59,335 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\contrib\staticfiles\checks.py first seen with mtime 1737714127.8478894
DEBUG 2025-01-27 14:11:59,335 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\db\models\signals.py first seen with mtime 1737714127.932017
DEBUG 2025-01-27 14:11:59,335 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\utils\html.py first seen with mtime 1737714128.0036352
DEBUG 2025-01-27 14:11:59,335 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\core\serializers\__init__.py first seen with mtime 1737714127.8863168
DEBUG 2025-01-27 14:11:59,335 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\sqlparse\sql.py first seen with mtime 1737714112.8563588
DEBUG 2025-01-27 14:11:59,335 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\rest_framework\schemas\openapi.py first seen with mtime 1737714165.4249015
DEBUG 2025-01-27 14:11:59,335 autoreload File C:\Python313\Lib\asyncio\timeouts.py first seen with mtime 1733239648.0
DEBUG 2025-01-27 14:11:59,335 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\views\decorators\debug.py first seen with mtime 1737714128.0136652
DEBUG 2025-01-27 14:11:59,336 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\pytz\tzinfo.py first seen with mtime 1737714110.828003
DEBUG 2025-01-27 14:11:59,336 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\urllib3\util\util.py first seen with mtime 1737714112.0292416
DEBUG 2025-01-27 14:11:59,336 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\contrib\admin\widgets.py first seen with mtime 1737714126.6483266
DEBUG 2025-01-27 14:11:59,336 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\db\migrations\operations\special.py first seen with mtime 1737714127.9229887
DEBUG 2025-01-27 14:11:59,336 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\requests\hooks.py first seen with mtime 1737714125.8769288
DEBUG 2025-01-27 14:11:59,336 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\asgiref\current_thread_executor.py first seen with mtime 1737714125.4980226
DEBUG 2025-01-27 14:11:59,336 autoreload File C:\Python313\Lib\importlib\resources\__init__.py first seen with mtime 1733239648.0
DEBUG 2025-01-27 14:11:59,336 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\amqp\basic_message.py first seen with mtime 1737714139.8266804
DEBUG 2025-01-27 14:11:59,336 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\db\models\aggregates.py first seen with mtime 1737714127.923991
DEBUG 2025-01-27 14:11:59,336 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\template\exceptions.py first seen with mtime 1737714127.9836545
DEBUG 2025-01-27 14:11:59,336 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\core\files\__init__.py first seen with mtime 1737714127.866942
DEBUG 2025-01-27 14:11:59,336 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\urls\utils.py first seen with mtime 1737714127.996164
DEBUG 2025-01-27 14:11:59,336 autoreload File C:\Python313\Lib\glob.py first seen with mtime 1733239648.0
DEBUG 2025-01-27 14:11:59,336 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\dateutil\parser\__init__.py first seen with mtime 1737714126.126534
DEBUG 2025-01-27 14:11:59,336 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\utils\autoreload.py first seen with mtime 1737714127.9981647
DEBUG 2025-01-27 14:11:59,336 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\amqp\spec.py first seen with mtime 1737714139.8311644
DEBUG 2025-01-27 14:11:59,337 autoreload File C:\Python313\Lib\dis.py first seen with mtime 1733239648.0
DEBUG 2025-01-27 14:11:59,337 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\colorama\__init__.py first seen with mtime 1737714124.254933
