INFO 2025-01-27 13:16:00,889 autoreload Watching for file changes with StatReloader
DEBUG 2025-01-27 13:16:00,890 autoreload Waiting for apps ready_event.
DEBUG 2025-01-27 13:16:00,999 autoreload Main Django thread has terminated before apps are ready.
DEBUG 2025-01-27 13:16:01,261 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-01-27 13:16:01,353 autoreload File C:\Python313\Lib\ssl.py first seen with mtime 1733239648.0
DEBUG 2025-01-27 13:16:01,358 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\contrib\auth\apps.py first seen with mtime 1737714126.9961514
DEBUG 2025-01-27 13:16:01,358 autoreload File C:\Python313\Lib\signal.py first seen with mtime 1733239648.0
DEBUG 2025-01-27 13:16:01,358 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\middleware\cache.py first seen with mtime 1737714127.9761386
DEBUG 2025-01-27 13:16:01,358 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\template\loaders\filesystem.py first seen with mtime 1737714127.9886515
DEBUG 2025-01-27 13:16:01,358 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\charset_normalizer\cd.py first seen with mtime 1737714124.4556382
DEBUG 2025-01-27 13:16:01,358 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\billiard\exceptions.py first seen with mtime 1737714124.7602918
DEBUG 2025-01-27 13:16:01,358 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\urllib3\contrib\__init__.py first seen with mtime 1737714112.0177302
DEBUG 2025-01-27 13:16:01,359 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\db\migrations\migration.py first seen with mtime 1737714127.9174654
DEBUG 2025-01-27 13:16:01,359 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\kombu\entity.py first seen with mtime 1737714164.093146
DEBUG 2025-01-27 13:16:01,359 autoreload File C:\Python313\Lib\encodings\utf_8_sig.py first seen with mtime 1733239648.0
DEBUG 2025-01-27 13:16:01,359 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\templatetags\__init__.py first seen with mtime 1737714127.9886515
DEBUG 2025-01-27 13:16:01,359 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\kombu\utils\uuid.py first seen with mtime 1737714164.1247356
DEBUG 2025-01-27 13:16:01,359 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\kombu\serialization.py first seen with mtime 1737714164.0981643
DEBUG 2025-01-27 13:16:01,359 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\kombu\utils\functional.py first seen with mtime 1737714164.1217308
DEBUG 2025-01-27 13:16:01,359 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\sqlparse\exceptions.py first seen with mtime 1737714112.8553586
DEBUG 2025-01-27 13:16:01,359 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\db\backends\postgresql\__init__.py first seen with mtime 1737714127.9038584
DEBUG 2025-01-27 13:16:01,359 autoreload File C:\Python313\DLLs\_hashlib.pyd first seen with mtime 1733239692.0
DEBUG 2025-01-27 13:16:01,359 autoreload File C:\Python313\Lib\stringprep.py first seen with mtime 1733239648.0
DEBUG 2025-01-27 13:16:01,359 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\dateutil\tz\_factories.py first seen with mtime 1737714126.1285157
DEBUG 2025-01-27 13:16:01,359 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\contrib\staticfiles\apps.py first seen with mtime 1737714127.8478894
DEBUG 2025-01-27 13:16:01,359 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\celery\utils\dispatch\signal.py first seen with mtime 1737714173.0584602
DEBUG 2025-01-27 13:16:01,359 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\requests\__init__.py first seen with mtime 1737714125.8708951
DEBUG 2025-01-27 13:16:01,359 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\urls\conf.py first seen with mtime 1737714127.9951644
DEBUG 2025-01-27 13:16:01,359 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\db\models\functions\math.py first seen with mtime 1737714127.9390216
DEBUG 2025-01-27 13:16:01,359 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\template\backends\django.py first seen with mtime 1737714127.9866526
DEBUG 2025-01-27 13:16:01,359 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\templatetags\tz.py first seen with mtime 1737714127.99116
DEBUG 2025-01-27 13:16:01,359 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\sqlparse\sql.py first seen with mtime 1737714112.8563588
DEBUG 2025-01-27 13:16:01,359 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\utils\text.py first seen with mtime 1737714128.0066364
DEBUG 2025-01-27 13:16:01,360 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\core\handlers\base.py first seen with mtime 1737714127.872039
DEBUG 2025-01-27 13:16:01,360 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\http\cookie.py first seen with mtime 1737714127.974149
DEBUG 2025-01-27 13:16:01,360 autoreload File C:\Python313\Lib\_opcode_metadata.py first seen with mtime 1733239648.0
DEBUG 2025-01-27 13:16:01,360 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\http\response.py first seen with mtime 1737714127.9751484
DEBUG 2025-01-27 13:16:01,360 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\sqlparse\engine\grouping.py first seen with mtime 1737714112.858359
DEBUG 2025-01-27 13:16:01,360 autoreload File C:\Python313\Lib\concurrent\futures\thread.py first seen with mtime 1733239648.0
DEBUG 2025-01-27 13:16:01,360 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\rest_framework\permissions.py first seen with mtime 1737714165.3685675
DEBUG 2025-01-27 13:16:01,360 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\requests\hooks.py first seen with mtime 1737714125.8769288
DEBUG 2025-01-27 13:16:01,360 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\amqp\platform.py first seen with mtime 1737714139.830159
DEBUG 2025-01-27 13:16:01,360 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\core\management\base.py first seen with mtime 1737714127.8770375
DEBUG 2025-01-27 13:16:01,360 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\urllib3\util\request.py first seen with mtime 1737714112.0242374
DEBUG 2025-01-27 13:16:01,360 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\rest_framework\apps.py first seen with mtime 1737714165.3625662
DEBUG 2025-01-27 13:16:01,360 autoreload File C:\Python313\Lib\warnings.py first seen with mtime 1733239650.0
DEBUG 2025-01-27 13:16:01,360 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\celery\app\defaults.py first seen with mtime 1737714173.01713
DEBUG 2025-01-27 13:16:01,360 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\cffi\lock.py first seen with mtime 1737715215.986313
DEBUG 2025-01-27 13:16:01,360 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\core\files\images.py first seen with mtime 1737714127.8679426
DEBUG 2025-01-27 13:16:01,360 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\views\i18n.py first seen with mtime 1737714128.0101504
DEBUG 2025-01-27 13:16:01,360 autoreload File C:\Python313\Lib\email\message.py first seen with mtime 1733239648.0
DEBUG 2025-01-27 13:16:01,360 autoreload File C:\Python313\Lib\asyncio\events.py first seen with mtime 1733239648.0
DEBUG 2025-01-27 13:16:01,360 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\dateutil\tz\_common.py first seen with mtime 1737714126.1285157
DEBUG 2025-01-27 13:16:01,361 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\requests\packages.py first seen with mtime 1737714125.8779202
DEBUG 2025-01-27 13:16:01,361 autoreload File C:\Python313\Lib\_compression.py first seen with mtime 1733239648.0
DEBUG 2025-01-27 13:16:01,361 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\kombu\log.py first seen with mtime 1737714164.094147
DEBUG 2025-01-27 13:16:01,361 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\urllib3\util\ssl_.py first seen with mtime 1737714112.0262365
DEBUG 2025-01-27 13:16:01,361 autoreload File C:\Python313\Lib\asyncio\tasks.py first seen with mtime 1733239648.0
DEBUG 2025-01-27 13:16:01,361 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\sqlparse\engine\__init__.py first seen with mtime 1737714112.858359
DEBUG 2025-01-27 13:16:01,361 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\template\loader.py first seen with mtime 1737714127.9846544
DEBUG 2025-01-27 13:16:01,361 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\contrib\admin\apps.py first seen with mtime 1737714126.6423142
DEBUG 2025-01-27 13:16:01,361 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\celery\__init__.py first seen with mtime 1737714173.0055978
DEBUG 2025-01-27 13:16:01,361 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\colorama\__init__.py first seen with mtime 1737714124.254933
DEBUG 2025-01-27 13:16:01,361 autoreload File C:\Python313\Lib\difflib.py first seen with mtime 1733239648.0
DEBUG 2025-01-27 13:16:01,361 autoreload File C:\Python313\Lib\email\iterators.py first seen with mtime 1733239648.0
DEBUG 2025-01-27 13:16:01,361 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\kombu\utils\encoding.py first seen with mtime 1737714164.1217308
DEBUG 2025-01-27 13:16:01,361 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\asgiref\__init__.py first seen with mtime 1737714125.496999
DEBUG 2025-01-27 13:16:01,361 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\db\migrations\operations\fields.py first seen with mtime 1737714127.9229887
DEBUG 2025-01-27 13:16:01,361 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\contrib\auth\hashers.py first seen with mtime 1737714126.9981513
DEBUG 2025-01-27 13:16:01,361 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\billiard\process.py first seen with mtime 1737714124.7642348
DEBUG 2025-01-27 13:16:01,361 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\db\models\sql\subqueries.py first seen with mtime 1737714127.9422095
DEBUG 2025-01-27 13:16:01,361 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\celery\loaders\__init__.py first seen with mtime 1737714173.0486908
DEBUG 2025-01-27 13:16:01,362 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\kombu\resource.py first seen with mtime 1737714164.0971494
